,Time,Radians,Year,Species
1,1899-12-31 03:00:00,0.785,2016,Crax rubra
2,1899-12-31 03:52:00,1.011777778,2016,Crax rubra
3,1899-12-31 05:31:00,1.443527778,2016,Crax rubra
4,1899-12-31 05:41:00,1.487138889,2016,Crax rubra
5,1899-12-31 05:42:00,1.4915,2016,Crax rubra
6,1899-12-31 05:44:00,1.500222222,2016,Crax rubra
7,1899-12-31 06:01:00,1.574361111,2016,Crax rubra
8,1899-12-31 06:04:00,1.587444444,2016,Crax rubra
9,1899-12-31 06:05:00,1.591805556,2016,Crax rubra
10,1899-12-31 06:06:00,1.596166667,2016,Crax rubra
11,1899-12-31 06:07:00,1.600527778,2016,Crax rubra
12,1899-12-31 06:09:00,1.60925,2016,Crax rubra
13,1899-12-31 06:13:00,1.626694444,2016,Crax rubra
14,1899-12-31 06:24:00,1.674666667,2016,Crax rubra
15,1899-12-31 06:26:00,1.683388889,2016,Crax rubra
16,1899-12-31 06:31:00,1.705194444,2016,Crax rubra
17,1899-12-31 06:33:00,1.713916667,2016,Crax rubra
18,1899-12-31 06:33:00,1.713916667,2016,Crax rubra
19,1899-12-31 06:33:00,1.713916667,2016,Crax rubra
20,1899-12-31 06:35:00,1.722638889,2016,Crax rubra
21,1899-12-31 06:37:00,1.731361111,2016,Crax rubra
22,1899-12-31 06:38:00,1.735722222,2016,Crax rubra
23,1899-12-31 06:41:00,1.748805556,2016,Crax rubra
24,1899-12-31 06:41:00,1.748805556,2016,Crax rubra
25,1899-12-31 06:41:00,1.748805556,2016,Crax rubra
26,1899-12-31 06:42:00,1.753166667,2016,Crax rubra
27,1899-12-31 06:42:00,1.753166667,2016,Crax rubra
28,1899-12-31 06:45:00,1.76625,2016,Crax rubra
29,1899-12-31 06:45:00,1.76625,2016,Crax rubra
30,1899-12-31 06:46:00,1.770611111,2016,Crax rubra
31,1899-12-31 06:46:00,1.770611111,2016,Crax rubra
32,1899-12-31 06:47:00,1.774972222,2016,Crax rubra
33,1899-12-31 06:49:00,1.783694444,2016,Crax rubra
34,1899-12-31 06:51:00,1.792416667,2016,Crax rubra
35,1899-12-31 06:52:00,1.796777778,2016,Crax rubra
36,1899-12-31 06:53:00,1.801138889,2016,Crax rubra
37,1899-12-31 06:54:00,1.8055,2016,Crax rubra
38,1899-12-31 06:54:00,1.8055,2016,Crax rubra
